no,date,tweet
1,2020/05/10 10:02:34,masa depan indonesia
2,2020/05/10 09:57:59,masa depan indonesia
3,2020/05/10 07:36:16,lebih tajam di antara negara yang paling sukses atas wabah covid
4,2020/05/10 07:12:52,di antara negara yang paling sukses atas wabah covid
5,2020/05/10 06:12:39,turut anda siapa yang salah dalam kasus pandemi global covid
6,2020/05/10 00:08:03,sambut hari ke ramadhan malam al quran turun bunda nenowrs sama keluarga nyanyi buah syair indah tulis oleh emha ainun najib dan aransemen oleh sapto raharjo tahun silam jangan lupa like share dan subscribe
7,2020/05/09 22:26:39,jangan padam kawan cahaya seperti indah purnama malam ini aku tahu ada kepahitantelanlah sama senyum kau bagi tak tergantikankau adalah masa depanjangan mundur jangan terkuncijangan mau kalah hanya allah tuju harikeenambelas
8,2020/05/09 21:56:23,harikeenambelas optimisme itu datang dari dalam hatimumaka apabila ia cahaya dan terang ia akan datang bawa kabar gembira pada diri sendiriapapun situasi di luar
9,2020/05/09 08:41:38,wanted covid bin corona
10,2020/05/09 08:38:54,khilafah covidiah
11,2020/05/09 06:09:43,kalau kita tahu banyak bom waktu mari kita doa moga gak ledak
12,2020/05/09 05:56:54,ramadhan adalah bulan solidaritaskita harus lawan hendak untuk buat kita sepi dan sendiri waspadacovid yang buat kita jaga jarak lalu seret kita pada sikap sepi dan sembunyitetap bahagia dan tetap gembira kawan staysafe stayhealthy
13,2020/05/09 05:46:23,di negara barat orang mulai bahas mungkin akan tingkat angka bunuh dirijadi orang justru dorong untuk peduli sama telah social distancing anggap buat orang jadi tidak peduli sesamamulai muncul asa sepi dan frustrasi waspadacovid
14,2020/05/09 00:36:01,kenapa bapak tidak umum corona bagai musuh sama
15,2020/05/09 00:06:42,kalau bapak dua gak bisa cari musuh besama nanti bapak dua jadi musuh sama lo
16,2020/05/09 00:01:13,pak jokowi dan pak prabowo yuk kita cari musuh sama yuk
17,2020/05/08 23:59:18,tim dan masih antem padahal bulan puasa dan ada coronadan para jagon sudah piring dua
18,2020/05/08 08:12:26,apa kabar pak kyai moga sehat selalu jangan lupa jaga sehat bangsa ini masih tunggu jumatberkah ramadanmubarak
