no,date,tweet
1,2020/05/04 10:26:37,empat alas kenapa kartu prakerja baik henti dan ganti blt a thread
2,2020/05/10 11:42:13,innalillahi wa inna ilaihi rojiun turut duka cita atas pulang jenderal purn djoko santoso panglima tni di era presiden sby sempat jadi kepala bpn prabowo sandi di pilpres kenang foto bareng donadam dan fadlizon sama almarhum
3,2020/05/10 11:55:01,innalilahi wainnailaihi raajiun selamat jalan jemderal djoko santoso duka cita yg sangat dalam husnul khotimah n smg beri tempat baik di sisi allah swt alm adalah org yg konsisten n punya diri teguh sungguh rasa hilang alfatihah
4,2020/05/10 10:07:32,fadli zon rakyat bingung karena perintah dan tukang perintah mau beda
5,2020/05/10 10:06:58,fadli zon perintah tak konsisten rakyat jadi korban
6,2020/05/10 10:06:34,fadli zon sebut soeharto bagai pimpin hebat indonesia turun angka miskin signifikan
7,2020/05/10 02:49:16,pak harto salah orang pimpin hebat indonesia hasil bangun ri atas waris hancur ekonomi belum turun angka miskin n anggur cara signifikan tumbuh ekonomi pesat n segani negara lain tentu ada juga sisi kurang
8,2020/05/09 12:43:53,harus dalam rangka psbb usaha kecil dan tengah yg konsumen orang tidak kerumun harus izin buka misal tukang jahit bengkel motor dealer motor dll sehingga ekonomi rakyat masih jalan dan karyawan tidak perlu di phk
9,2020/05/10 02:40:07,negara seperti tdk hadir bela rakyat yg laku tidak manusiawi bagaimana mau harga oleh negara lain negara sendiri gagal lindung nasib jd rakyat di era
10,2020/05/09 15:25:05,dalam upaya lacak jejak laku retas ravio kabar sudah komunikasi dengan orang petinggi whatsapp di singapura
11,2020/05/10 02:33:23,jangan sampai gugus tugas covid larung perintah jubir gugus tugas covid tak libat bikin kaji buka mal hingga sekolah
12,2020/05/10 02:31:08,sy tambah sedikit bang ramlirizal teori memang tapi laksana
13,2020/05/09 13:44:35,menlu sebut abk indonesia larung ke laut atas tuju keluarga
14,2020/05/09 18:39:32,rasa bohong keluarga abk wni yang larung ke laut tuntut pihak salur
15,2020/05/09 23:17:34,
16,2020/05/09 23:13:22,the th anniversary of russia s victory in the great patriotic war selamat hari menang negara rusia ke dalam perang patriotik raya kremlinrussiae rusembjakarta
17,2020/05/09 13:59:37,perintah atau tukang perintah mau beda tak konsisten ubah jadi memang masalah koordinasi para tukang perintah rakyat jadi korban plus bingung ini masalah yg harus selesai para tukang perintah
18,2020/05/09 13:10:52,kremlinrussiae rusembjakarta rbthindonesia
19,2020/05/09 11:49:58,desak perintah usut kasus budak hadap abk wni di kapal china fadli zon hina hadap rakyat indonesia
20,2020/05/09 11:49:27,fadli zon kecewa bas tumpang positif covid pada hari dua bandara soekarnohatta buka
21,2020/05/09 11:49:02,fadli zon kecewa tumpang positif corona pada hari dua bandara soetta buka lewat kbharianaceh
22,2020/05/09 11:48:44,keluarga abk wni tak tahu jasad anak larung fadli zon harus tuntut lewat monitorcoid
23,2020/05/08 11:34:05,sering nyata yg tdk jelas seperti ini ceplos kemudian perlu jelas lagi arti olh staffsnya apa pikir dan hati selaras dengan rakyat tweeps you judgetempodotco alvinlie beritarmol najwashihab bisa jelas lagi
24,2020/05/09 00:13:17,winston churchills inspiring wartime speeches in parliament
25,2020/05/09 01:07:28,jelas sekali jadi budak di kapal sebut harus usut n tuntut nyata komunikasi dg keluarga putus bgmn mau ada izin larung jenazah
26,2020/05/08 15:44:15,begini nasib negeri kalau atur dengan selera sendiri luhut tak mau lockdown tanpa ada vaksin
27,2020/05/08 23:29:50,fadli zon kecewa bas tumpang positif covid pada hari dua bandara soekarnohatta buka
28,2020/05/08 18:35:49,dunia lawan covid jokowi minta masyarakat damai fadli zon jadi mana yang benar
29,2020/05/08 14:58:44,ini yg sebut sahabat dg virus corona hari ini bandara soekarnohatta langsung beludak tumpang tahu positif corona via tribunjabar
30,2020/05/08 14:14:59,sindir menko muhadjir fadli zon ini menteri baru bangun tidur
31,2020/05/07 22:24:27,gawat pln duga manfaat corona untuk sedot uang rakyat
32,2020/05/08 13:51:44,fadli zon pak jokowi jadi mana yang benar apa sih rencana
33,2020/05/08 11:20:23,menkeu sri mulyani tvonenews hariankompas i am glad that at last you cancelled the issuance of pandemic or recovery bonds you have come to a right sense printing money in a corrupt state poor governance is a worst policy choice
34,2020/05/08 13:17:12,rip mas adi kurdi selamat jalan
35,2020/05/08 04:55:41,gubernur sultra ali mazi minta polisi tangkap tka china palsu ktp
36,2020/05/08 11:48:35,ekonom textbook punya resep itu sj n kadang ikut apa yg laku tuan tapi lupa ada situasi kondisi yg beda itu yg bang ramlirizal sebut konteks salah bijak bisa buat mata uang kita makin tak harga
37,2020/05/08 11:30:41,sindir menko muhadjir fadli zon ini menteri baru bangun tidur
38,2020/05/08 11:14:47,
39,2020/05/08 11:14:14,fadli zon sindir menko muhadjir ini menteri baru bangun tidur
40,2020/05/08 11:13:35,viralabkindonesiadisiksadikapaltiongkokcfadlizongeramclalungomongbegini
41,2020/05/08 11:13:00,
42,2020/05/08 05:43:46,minta investigasi soal abk indonesia fadli zon kita bukan budak cina
43,2020/05/08 05:42:28,hal ini yang akan dilkukan fadli zon jika milik sempat tangan virus corona
44,2020/05/08 05:40:39,fadli zon marah besar abk wni laku kejam kita bukan budak cina lewat indoinsidenews
45,2020/05/08 05:40:22,insiden jenazah abk indonesia fadli zon ke jokowi ini langgar ham dan hina kita bukan budak china pojoksatu
46,2020/05/08 05:39:46,minta investigasi soal abk indonesia fadli zon kita bukan budak cina
47,2020/05/08 05:35:02,fadli zon sebut muhadjir efendy baru bangun tidur telah komentar usul lockdown jakarta
48,2020/05/07 19:12:50,hari ini saya terima panggil dua dari polisi untuk hadir periksa tgl mei dengan ucap bismillahirrahmanirrahim bagai warga negara yg taat hukum saya nyata bahwa saya patuh ikut atur hukum
49,2020/05/08 03:26:21,fadli zon perintah indonesia harus tuntut china
50,2020/05/08 03:58:29,komentar menko pmk ini lambat bulan diskusi soal lockdown bulan maret lalu ini menteri spt baru bangun tidur n komentar salah waktu n salah sasar tak guna menko pmk usul lockdown dki konyol tanggung biaya makan wargakucing
51,2020/05/08 01:49:32,pak jokowi jd mana yg benar rang covid atau hidup damai dg virus corona kok spt trial n error bijak n dekat yg gonta ganti ini bingung rakyat juga aparat di daerah apa sih rencana
52,2020/05/08 01:44:58,turut sy langkah bi benar belum tentu cetak uang bisa atas masalah malah bisa timbul masalah baru
53,2020/05/08 01:41:34,kok bisa menaker ri rendah kerja indonesia sambil puji kerja cina sy yakin kerja kita mampu n punya kualitas lebih jgn banding hanya utk cari justifikasi perlu hadir tka china sedih kemnakerri
54,2020/05/07 13:18:57,siap jadi saksi ahli said didu rocky gerung akan saya kuliah acara luhut
55,2020/05/07 23:50:44,tagih lonjak fadli zon pln tidak profesional lewat tagarnews
56,2020/05/07 23:50:24,
57,2020/05/07 23:48:56,fadli zon perintah indonesia harus tuntut china
58,2020/05/07 20:35:10,jasad wni abk buang ke laut fadli zon harus usut dan investigasi
59,2020/05/07 20:34:49,fadli zon desak perintah usut tuntas kasus budak abk indonesia di kapal china
60,2020/05/07 20:34:02,
61,2020/05/07 20:33:33,fadli zon geram pln baru jelas tambah tagih bulan april telah banyak komplain
62,2020/05/07 20:33:02,jika punya sempat urus wabah corona fadli zon henti dulu menteri sehat awan
63,2020/05/07 20:32:17,fadli zon blakblakan henti menteri awan bila suruh tangan wabah virus corona
64,2020/05/07 20:13:24,refly harun sindir kehatihatian fadli zon komentar tak seperti orang kata fadli zon nyinyir tribun wow
65,2020/05/07 17:21:36,fadli zon rakyat jadi korban bingung atur transportasi umum
66,2020/05/07 17:21:16,fadli zon geram pln baru jelas hitung tagih bulan april telah banyak komplain konsumen
67,2020/05/07 17:20:51,
68,2020/05/07 17:20:26,tagih lonjak fadli zon pln tidak profesional lewat tagarnews
69,2020/05/07 17:20:10,semprot pln soal tagih listrik lonjak fadli zon jangan kayak maling
