,date,year,month,day,content,replies,retweet,likes
0,2020-05-13 13:49:43,2020,5,13,saya tinjau serah bantu tunai di kantor pos jalan juanda bogor pagi ini warga terima manfaat antre dengan tertib jaga jarak dan kena masker saya harap dengan bantu ini daya beli masyarakat tetap jaga sampai konsumsi domestik normal kembali,0,0,0
1,2020-05-12 18:08:45,2020,5,12,tepat pada ramadan hari ini saya serah dana zakat cara daring kepada badan amil zakat nasional untuk salur kepada mustahik saya ajak para muzaki untuk zakat lalu baznas moga zakat yang kita keluar sempurna ibadah kita,833,1189,11830
2,2020-05-12 16:15:52,2020,5,12,karena itu longgar psbb hendak laku cara hatihati dan tidak tergesagesa semua dasar pada evaluasi atas data dan laksana psbb di lapang,163,158,2043
3,2020-05-12 16:15:34,2020,5,12,psbb telah laksana di provinsi dan kabkota efektivitas laksana psbb ini masih variasi ada daerah dengan kasus covid turun cara gradual konsisten namun tidak drastis ada yang turun namun fluktuatif ada yang tidak ubah belum dan sudah psbb,339,673,5524
4,2020-05-11 16:31:01,2020,5,11,bulan mei dan juni ini kira sekitar kerja migran indonesia pulang ke indonesia telah kontrak mereka akhir mereka asal dari daerah jatim jateng jabar ntb sumut lampung hingga bal pulang mereka harus lalu protokol sehat yang ketat,711,757,5674
5,2020-05-11 16:16:36,2020,5,11,seluruh upaya riset dan inovasi sebut kita dukung sepenuh saya minta inovasiinovasi yang telah laku ini dapat produksi cara massal sehingga kita tidak gantung lagi pada produkproduk impor dari negara lain,147,316,3331
6,2020-05-11 16:16:12,2020,5,11,ada maju dari bagai riset dan inovasi yang laku di dalam negeri kait covid uji plasma darah pasien covid yang sembuh sel punca untuk baik jaring paru yang rusak teliti genome sequencing kembang alat tes pcr dan nonpcr ventilator dll,533,1789,12656
7,2020-05-11 15:05:04,2020,5,11,saya minta kepada jajar kait untuk maksimal fungsi lab dalam jaring lab covid agar target periksa spesimen per hari dapat segera capai masuk lebih perhati kesiap sdm latih serta sedia alatalat uji,429,765,6006
8,2020-05-09 11:58:15,2020,5,9,tidak mudik adalah cara paling bijaksana untuk lindung keluarga di kampung dengan sabar tahan rindu di rantau kita telah ambil peran dalam putus rantai sebar virus covid kita tidak mudik karena kita sayang kepada keluarga,364,528,4104
9,2020-05-09 11:53:16,2020,5,9,tidak mudik adalah cara paling bijaksana untuk lindung keluarga di kampung dengan sabar tahan rindu di rantau kita telah ambil peran dalam putus rantai sebar virus covid kita tidak mudik karena kita sayang kepada keluarga,1383,2031,11804
10,2020-05-07 17:50:37,2020,5,7,sampai temu vaksin yang efektif kita harus hidup damai dengan covid untuk beberapa waktu ke depan sejak awal perintah pilih bijak batas sosial skala besar bukan lockdown dengan psbb masyarakat masih bisa aktivitas tetapi batas,3461,2445,18798
11,2020-05-07 11:06:19,2020,5,7,ekonomi indonesia pada triwulan pertama tumbuh year on year lebih lambat banding kuartal empat yang walaupun hanya tapi kalau banding negara lain yang telah rilis angka tumbuh kerja ekonomi negara kita relatif masih baik,1137,1066,10481
12,2020-05-07 09:36:38,2020,5,7,dengan saudara dan gotong royong kita akan jalan sama lewat segala uji dan sulit selamat hari trisuci waisak moga semua makhluk tetap saling asih,272,1454,11196
13,2020-05-06 20:08:13,2020,5,6,karena situasi yang extraordinary perlu cepat dan tepat maka tangan covid ini perintah harus gerak dengan cepat namun perintah juga kita semua tetap harus siap untuk awas dan kontrol oleh lembagalembaga negara dan seluruh masyarakat,1015,992,9129
14,2020-05-06 19:03:25,2020,5,6,kerja besar untuk capai target sebut tidak bisa hanya laku gugus tugas tapi juga harus libat seluruh elemen bangsa seluruh jajar perintah organisasiorganisasi sosial masyarakat partai politik dan sektor swasta,151,268,2821
15,2020-05-06 19:02:52,2020,5,6,fokus kerja perintah saat ini adalah tangan dan kendali covid secepatcepatnya target kita bulan mei ini kurva sebar covid nya turun bulan juni pada posisi sedang dan juli harus pada posisi ringan itu target yang harus kita capai,1087,1692,12268
